timestamp_sec,mouse_dx_L,mouse_dy_L,mouse_dx_R,mouse_dy_R,mouse_lat_mm,mouse_fwd_mm,mouse_rot_rad,mouse_x,mouse_y,mouse_theta,lidar_x_mm,lidar_y_mm,lidar_theta_rad,lidar_dx_mm,lidar_dy_mm,lidar_dtheta_rad,lidar_valid
0.0000,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
0.0001,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0102,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0203,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0304,0,-1,0,-1,0.0000,0.0032,-0.0000,0.0000,0.0032,-0.0000,,,,,,,
0.0405,0,0,0,-1,0.0000,0.0016,0.0000,-0.0000,0.0047,0.0000,,,,,,,
0.0505,0,-1,0,0,0.0000,0.0016,-0.0000,-0.0000,0.0064,-0.0000,,,,,,,
0.0606,-8,0,0,-9,-0.0127,0.0140,0.0002,-0.0127,0.0204,0.0002,,,,,,,
0.0707,0,-37,-10,-99,-0.0154,0.2141,0.0013,-0.0283,0.2345,0.0015,,,,,,,
0.0808,-4,-116,0,0,-0.0064,0.1887,-0.0027,-0.0347,0.4232,-0.0012,,,,,,,
0.0909,0,0,-6,-167,-0.0093,0.2596,0.0037,-0.0442,0.6828,0.0026,,,,,,,
0.1010,-3,-183,-6,-217,-0.0140,0.6351,0.0006,-0.0600,1.3179,0.0031,,,,,,,
0.1111,3,-225,0,0,0.0048,0.3660,-0.0052,-0.0554,1.6839,-0.0021,,,,,,,
0.1212,0,0,3,-237,0.0046,0.3685,0.0053,-0.0510,2.0524,0.0032,,,,,,,
0.1313,5,-232,0,0,0.0080,0.3774,-0.0054,-0.0432,2.4298,-0.0022,,,,,,,
0.1414,-1,-253,0,-268,-0.0016,0.8283,0.0001,-0.0429,3.2581,-0.0022,,,,,,,
0.1424,,,,,,,,,,,0.2584,0.7667,-0.0004,0.2584,0.7667,-0.0004,1
0.1514,0,0,-6,-260,-0.0093,0.4042,0.0058,-0.0525,3.6623,0.0036,,,,,,,
0.1615,-3,-255,0,0,-0.0048,0.4148,-0.0059,-0.0575,4.0772,-0.0023,,,,,,,
0.1716,0,0,1,-313,0.0015,0.4866,0.0070,-0.0565,4.5638,0.0046,,,,,,,
0.1817,0,-319,-6,-352,-0.0093,1.0662,0.0004,-0.0710,5.6300,0.0050,,,,,,,
0.1918,-11,-331,0,0,-0.0175,0.5385,-0.0077,-0.0891,6.1685,-0.0027,,,,,,,
0.2019,0,0,-16,-355,-0.0247,0.5519,0.0079,-0.1145,6.7204,0.0052,,,,,,,
0.2120,-7,-325,0,0,-0.0111,0.5287,-0.0076,-0.1264,7.2491,-0.0023,,,,,,,
0.2221,5,-338,-1,-364,0.0064,1.1158,0.0002,-0.1175,8.3649,-0.0021,,,,,,,
0.2322,0,0,-2,-355,-0.0031,0.5519,0.0079,-0.1216,8.9168,0.0058,,,,,,,
0.2422,3,-271,0,0,0.0048,0.4409,-0.0063,-0.1180,9.3577,-0.0005,,,,,,,
0.2523,0,0,4,-351,0.0062,0.5457,0.0078,-0.1137,9.9034,0.0073,,,,,,,
0.2624,14,-299,2,-334,0.0253,1.0057,0.0005,-0.0959,10.9093,0.0078,,,,,,,
0.2725,2,-309,0,0,0.0032,0.5027,-0.0072,-0.0948,11.4120,0.0006,,,,,,,
0.2784,,,,,,,,,,,0.2994,6.6142,0.0009,0.0387,5.8475,0.0013,1
0.2826,0,0,0,-358,0.0000,0.5566,0.0080,-0.0973,11.9686,0.0085,,,,,,,
0.2927,2,-333,-11,-390,-0.0138,1.1481,0.0009,-0.1214,13.1165,0.0095,,,,,,,
0.3028,-12,-359,0,0,-0.0191,0.5840,-0.0083,-0.1436,13.7005,0.0011,,,,,,,
0.3141,0,0,-16,-393,-0.0247,0.6110,0.0087,-0.1716,14.3113,0.0098,,,,,,,
