timestamp_sec,mouse_dx_L,mouse_dy_L,mouse_dx_R,mouse_dy_R,mouse_lat_mm,mouse_fwd_mm,mouse_rot_rad,mouse_x,mouse_y,mouse_theta,lidar_x_mm,lidar_y_mm,lidar_theta_rad,lidar_dx_mm,lidar_dy_mm,lidar_dtheta_rad,lidar_valid
0.0000,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
0.0001,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0103,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0204,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0305,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0405,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0506,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0607,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0708,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0809,0,-1,0,-1,0.0000,0.0032,-0.0000,0.0000,0.0032,-0.0000,,,,,,,
0.0910,0,0,0,-1,0.0000,0.0016,0.0000,-0.0000,0.0047,0.0000,,,,,,,
0.1010,0,-1,0,0,0.0000,0.0016,-0.0000,-0.0000,0.0064,-0.0000,,,,,,,
0.1111,0,0,0,-1,0.0000,0.0016,0.0000,-0.0000,0.0079,0.0000,,,,,,,
0.1212,0,-1,0,-10,0.0000,0.0172,0.0002,-0.0000,0.0251,0.0002,,,,,,,
0.1313,0,-23,0,0,0.0000,0.0374,-0.0005,-0.0000,0.0625,-0.0003,,,,,,,
0.1365,,,,,,,,,,,0.0559,0.5347,0.0001,0.0559,0.5347,0.0001,1
0.1413,0,0,0,-41,0.0000,0.0637,0.0009,-0.0000,0.1263,0.0006,,,,,,,
0.1514,2,-50,0,0,0.0032,0.0813,-0.0012,0.0032,0.2076,-0.0006,,,,,,,
0.1616,0,0,0,-62,0.0000,0.0964,0.0014,0.0032,0.3040,0.0008,,,,,,,
0.1716,0,0,-1,-57,-0.0015,0.0886,0.0013,0.0015,0.3926,0.0021,,,,,,,
0.1817,0,-50,0,0,0.0000,0.0813,-0.0012,0.0014,0.4740,0.0009,,,,,,,
0.1918,0,0,0,-64,0.0000,0.0995,0.0014,0.0012,0.5735,0.0023,,,,,,,
0.2019,0,-57,1,-77,0.0015,0.2124,0.0004,0.0022,0.7859,0.0027,,,,,,,
0.2119,4,-142,0,0,0.0064,0.2310,-0.0033,0.0083,1.0169,-0.0006,,,,,,,
0.2220,0,0,0,-66,0.0000,0.1026,0.0015,0.0083,1.1195,0.0009,,,,,,,
0.2321,2,-61,0,0,0.0032,0.0992,-0.0014,0.0115,1.2188,-0.0005,,,,,,,
0.2422,7,-72,5,-65,0.0188,0.2182,-0.0002,0.0305,1.4370,-0.0008,,,,,,,
0.2522,0,0,2,-78,0.0031,0.1213,0.0017,0.0335,1.5582,0.0010,,,,,,,
0.2623,2,-82,0,0,0.0032,0.1334,-0.0019,0.0367,1.6916,-0.0009,,,,,,,
0.2724,0,-73,0,-81,0.0000,0.2447,0.0001,0.0369,1.9363,-0.0008,,,,,,,
0.2825,0,0,0,-78,0.0000,0.1213,0.0017,0.0369,2.0576,0.0009,,,,,,,
0.2845,,,,,,,,,,,-0.0670,0.7813,-0.0010,-0.1229,0.2466,-0.0011,1
0.2925,0,-69,0,0,0.0000,0.1123,-0.0016,0.0369,2.1699,-0.0007,,,,,,,
0.3026,0,0,2,-80,0.0031,0.1244,0.0018,0.0400,2.2942,0.0011,,,,,,,
0.3127,5,-98,-1,-105,0.0064,0.3227,0.0001,0.0460,2.6169,0.0011,,,,,,,
0.3228,-4,-94,0,0,-0.0064,0.1529,-0.0022,0.0397,2.7698,-0.0011,,,,,,,
