timestamp_sec,mouse_dx_L,mouse_dy_L,mouse_dx_R,mouse_dy_R,mouse_lat_mm,mouse_fwd_mm,mouse_rot_rad,mouse_x,mouse_y,mouse_theta,lidar_x_mm,lidar_y_mm,lidar_theta_rad,lidar_dx_mm,lidar_dy_mm,lidar_dtheta_rad,lidar_valid
0.0000,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
0.0001,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0102,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0203,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0304,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0404,-1,0,0,-1,-0.0016,0.0016,0.0000,-0.0016,0.0016,0.0000,,,,,,,
0.0505,0,0,0,0,0.0000,0.0000,0.0000,-0.0016,0.0016,0.0000,,,,,,,
0.0606,-1,-1,0,-1,-0.0016,0.0032,-0.0000,-0.0032,0.0047,0.0000,,,,,,,
0.0707,-6,-4,-12,-25,-0.0280,0.0454,0.0005,-0.0312,0.0501,0.0005,,,,,,,
0.0807,0,0,0,0,0.0000,0.0000,0.0000,-0.0312,0.0501,0.0005,,,,,,,
0.0899,,,,,,,,,,,-0.1377,-0.1907,0.0004,-0.1377,-0.1907,0.0004,1
0.0908,-33,-26,-40,-65,-0.1142,0.1434,0.0008,-0.1455,0.1934,0.0013,,,,,,,
0.1009,0,0,0,0,0.0000,0.0000,0.0000,-0.1455,0.1934,0.0013,,,,,,,
0.1110,-50,-35,-63,-95,-0.1767,0.2046,0.0013,-0.3226,0.3977,0.0026,,,,,,,
0.1210,-65,-45,-81,-124,-0.2283,0.2660,0.0017,-0.5518,0.6629,0.0043,,,,,,,
0.1311,0,0,0,0,0.0000,0.0000,0.0000,-0.5518,0.6629,0.0043,,,,,,,
0.1412,-95,-64,-98,-151,-0.3022,0.3389,0.0019,-0.8558,1.0001,0.0062,,,,,,,
0.1513,-94,-68,-109,-163,-0.3176,0.3641,0.0020,-1.1760,1.3619,0.0082,,,,,,,
0.1614,0,0,0,0,0.0000,0.0000,0.0000,-1.1760,1.3619,0.0082,,,,,,,
0.1715,-98,-73,-114,-176,-0.3316,0.3924,0.0022,-1.5112,1.7512,0.0104,,,,,,,
0.1815,-114,-90,0,0,-0.1813,0.1464,-0.0021,-1.6939,1.8959,0.0084,,,,,,,
0.1916,0,0,-138,-213,-0.2128,0.3312,0.0047,-1.9103,2.2248,0.0131,,,,,,,
0.2016,-109,-80,-137,-208,-0.3846,0.4535,0.0028,-2.3014,2.6727,0.0158,,,,,,,
0.2117,0,0,0,0,0.0000,0.0000,0.0000,-2.3014,2.6727,0.0158,,,,,,,
0.2218,-117,-84,-129,-195,-0.3850,0.4398,0.0024,-2.6938,3.1059,0.0182,,,,,,,
0.2298,,,,,,,,,,,-1.3478,4.2230,0.0078,-1.2085,4.4141,0.0074,1
0.2319,-125,-92,0,0,-0.1988,0.1497,-0.0021,-2.8951,3.2521,0.0161,,,,,,,
0.2420,0,0,0,0,0.0000,0.0000,0.0000,-2.8951,3.2521,0.0161,,,,,,,
0.2521,-120,-89,-144,-221,-0.4129,0.4884,0.0028,-3.3165,3.7332,0.0189,,,,,,,
0.2622,-132,-102,-132,-199,-0.4135,0.4753,0.0020,-3.7394,4.2002,0.0210,,,,,,,
0.2723,0,0,0,0,0.0000,0.0000,0.0000,-3.7394,4.2002,0.0210,,,,,,,
0.2823,-131,-93,-317,-487,-0.6972,0.9085,0.0087,-4.4593,5.0907,0.0296,,,,,,,
0.2924,0,0,0,0,0.0000,0.0000,0.0000,-4.4593,5.0907,0.0296,,,,,,,
0.3025,-137,-106,-160,-251,-0.4646,0.5627,0.0031,-4.9412,5.6387,0.0327,,,,,,,
0.3126,-148,-107,-158,-259,-0.4790,0.5768,0.0033,-5.4397,6.1986,0.0360,,,,,,,
