timestamp_sec,mouse_dx_L,mouse_dy_L,mouse_dx_R,mouse_dy_R,mouse_lat_mm,mouse_fwd_mm,mouse_rot_rad,mouse_x,mouse_y,mouse_theta,lidar_x_mm,lidar_y_mm,lidar_theta_rad,lidar_dx_mm,lidar_dy_mm,lidar_dtheta_rad,lidar_valid
0.0000,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1
0.0001,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0102,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0203,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0304,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,
0.0405,0,-1,0,0,0.0000,0.0016,-0.0000,0.0000,0.0016,-0.0000,,,,,,,
0.0490,,,,,,,,,,,0.1190,0.0945,-0.0000,0.1190,0.0945,-0.0000,1
0.0505,0,0,0,-1,0.0000,0.0016,0.0000,0.0000,0.0032,-0.0000,,,,,,,
0.0606,0,-1,0,-1,0.0000,0.0032,-0.0000,0.0000,0.0064,-0.0000,,,,,,,
0.0707,0,-3,0,0,0.0000,0.0049,-0.0001,0.0000,0.0112,-0.0001,,,,,,,
0.0808,0,0,0,-10,0.0000,0.0155,0.0002,-0.0000,0.0268,0.0002,,,,,,,
0.0909,-1,-12,-1,-17,-0.0031,0.0460,0.0001,-0.0031,0.0727,0.0002,,,,,,,
0.1010,-1,-12,0,0,-0.0016,0.0195,-0.0003,-0.0047,0.0923,-0.0000,,,,,,,
0.1110,0,0,-3,-15,-0.0046,0.0233,0.0003,-0.0094,0.1156,0.0003,,,,,,,
0.1211,-6,-17,0,0,-0.0095,0.0277,-0.0004,-0.0189,0.1432,-0.0001,,,,,,,
0.1312,0,0,-6,-27,-0.0093,0.0420,0.0006,-0.0282,0.1852,0.0005,,,,,,,
0.1413,-3,-20,-5,-29,-0.0125,0.0776,0.0002,-0.0407,0.2628,0.0007,,,,,,,
0.1514,-6,-20,0,0,-0.0095,0.0325,-0.0005,-0.0503,0.2954,0.0002,,,,,,,
0.1614,0,0,-8,-33,-0.0123,0.0513,0.0007,-0.0626,0.3467,0.0010,,,,,,,
0.1715,-7,-22,-10,-36,-0.0266,0.0918,0.0003,-0.0893,0.4384,0.0012,,,,,,,
0.1816,-9,-27,0,0,-0.0143,0.0439,-0.0006,-0.1036,0.4823,0.0006,,,,,,,
0.1917,0,0,-11,-41,-0.0170,0.0637,0.0009,-0.1207,0.5460,0.0015,,,,,,,
0.1963,,,,,,,,,,,-0.2561,0.4596,-0.0004,-0.3751,0.3651,-0.0003,1
0.2018,-10,-29,0,0,-0.0159,0.0472,-0.0007,-0.1366,0.5932,0.0009,,,,,,,
0.2118,0,0,-13,-45,-0.0200,0.0700,0.0010,-0.1568,0.6631,0.0019,,,,,,,
0.2219,-11,-29,-16,-47,-0.0422,0.1203,0.0004,-0.1992,0.7833,0.0022,,,,,,,
0.2320,0,0,0,0,0.0000,0.0000,0.0000,-0.1992,0.7833,0.0022,,,,,,,
0.2421,0,0,-13,-45,-0.0200,0.0700,0.0010,-0.2194,0.8532,0.0032,,,,,,,
0.2522,-10,-32,-14,-50,-0.0375,0.1298,0.0004,-0.2573,0.9829,0.0036,,,,,,,
0.2622,-16,-31,0,0,-0.0254,0.0504,-0.0007,-0.2829,1.0332,0.0029,,,,,,,
0.2723,0,0,-16,-51,-0.0247,0.0793,0.0011,-0.3079,1.1124,0.0040,,,,,,,
0.2824,-29,-68,0,0,-0.0461,0.1106,-0.0016,-0.3544,1.2229,0.0024,,,,,,,
0.2925,0,0,-17,-52,-0.0262,0.0808,0.0012,-0.3808,1.3037,0.0036,,,,,,,
0.3025,-14,-33,-19,-54,-0.0516,0.1376,0.0004,-0.4329,1.4411,0.0040,,,,,,,
0.3126,-11,-40,0,0,-0.0175,0.0651,-0.0009,-0.4506,1.5061,0.0031,,,,,,,
